3,Seattle Cheese Festival,05/15/2010 00:00:00,05/16/2010 00:00:00,"Sample and learn about all things cheese. The Market hosts the Seattle Cheese Festival. Visit <a href=""http://www.seattlecheesefestival.com/"" target=""_new"">www.seattlecheesefestival.com</a> for information.",0
4,Pike Place Market Flower Festival,05/08/2010 00:00:00,05/09/2010 00:00:00,"Mother's Day Weekend!<br /><br />Flower farmers fill the north end of the street, offering beautiful bouquets for sale in this Mother's Day event. Check back for more details, including news about guest speaker Cisco Morris.",0
5,The Pink Door Entertainment,07/01/2010 00:00:00,07/31/2010 00:00:00,"The entertainment line up for The Pink Door for July:<br /><br /><span style=""text-decoration: underline;"">Monday</span><br />Rachel Strickland on trapeze<br />Make reservations to see our trapeze artist in the dining room!!!<br />6:30 p.m. - 9:00 p.m.<br /><br /><span style=""text-decoration: underline;"">Tuesday</span><br />Tony Yazzalino on accordion<br />Sting on accordion<br />8:00 p.m. - 11:00 p.m.<br /><br /><span style=""text-decoration: underline;"">Wednesday</span><br />Casey MacGill &amp; the Blue 4 Trio<br />The golden era of speak easy nightclubs w/ harmonizing vocals<br />8:00 p.m. - 11:00 p.m.<br /><br /><span style=""text-decoration: underline;"">Thursday</span><br />Greg Ruby &amp; his Musette Trio<br />Eastern European Jazz<br />8:00 p.m. - 11:00 p.m.<br /><br /><span style=""text-decoration: underline;"">Fridays</span><br /><strong>JulyÂ 2nd</strong> <br />The Witness<br />The best of Seattle soul with Kaleb Kerr<br />9:00 p.m. - 12:00 a.m.<br /><br /><strong>July 9th</strong><br />Professor Gall<br />Live from Portland<br />9:00 p.m. - 12:00 a.m.<br /><br /><strong>July 16th </strong><br />Modern Dance Behind The Pink Door<br />Hosted by: Alice Gosti<br />Show starts at 10:00 p.m.<br /><br /><strong>July 23rd </strong><br />The Witness<br />The best of Seattle soul with Kaleb Kerr<br />9:00 p.m. - 12:00 a.m.<br /><br /><strong>July 30th - Special gig this month!</strong><br />Jim Bianco<br />Eclectic song craft on par with Elvis Costello and Tom WaitsÂ <br />No cover charge. Show starts at 10:30 p.m.<br />For more about Jim Bianco, visit <a href=""http://www.jimbianco.com"">www.jimbianco.com</a>.<br /><br /><span style=""text-decoration: underline;"">Saturday</span><br />Burlesque &amp; Cabaret Behind The Pink Door<br />11:00 till the Wee Hours<br />Please call for details.Â  No Reservations / $15 Cover / Recommended arrival time 9:30 to 10:00<br /><br /><span style=""text-decoration: underline;"">Sunday</span><br />Tamara the Trapeze Artist<br />Make reservations to see our trapeze artist in the dining room!!!<br />6:30 p.m. - 9:00 p.m.<br /><br />The Pink Door is located at 1919 Post Alley between Stewart &amp; Virginia. Call 206-443-3241 for information or reservations. <a href=""http://www.thepinkdoor.net/"" target=""_new"">www.thepinkdoor.net</a>",0
6,FARM DAYS at Pike Place Market,06/23/2012 00:00:00,09/30/2012 00:00:00,"<p>Shop from Pike Place Market farmers on the cobblestones of Pike Place every Wednesday, Saturday and Sunday this summer.<br /><br />Choose from the season's best berries, greens, herbs, vegetables and much more.</p>
<p>On Sundays, the north end of Pike Place is closed to traffic, creating more room to shop and walk. Join us each Sunday for a cooking demo or two and learn from local chefs. Demos begin at noon and 2:00 p.m. each Sunday (note: chef demos are subject to change or cancellation without notice).</p>
<a href=""http://pikeplacemarket.org/news_events/events_promotions#event-9"" title=""chef demo schedule"" target=""_blank"">Chef demo schedule and weekly chef bios<br /></a>",0
7,Pike Place Market Express,06/22/2010 00:00:00,09/30/2010 00:00:00,"Join us at our weekly remote markets again this summer! Shop from Pike Place Market farmers at a location convenient to your office.<br /><br /><strong>Pike Place Market Express at City Hall Plaza</strong><br />begins June 22, then every Tuesday through September<br />10 am - 2 pm<br /><br /><strong>Pike Place Market Express in the Cascade Neighborhood</strong><br />begins June 24, then every Thursday through September<br />3 - 7 pm<br /><em>New location: On Minor Ave. between Thomas &amp; Harrison Streets, one block east of Fairview Ave. N.</em><br />",0
102,Flair Studio & Boutique Opening Party,03/30/2013 00:00:00,03/30/2013 00:00:00,"<span style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"">Put on something stylish and come to the 3rd level downunder at Pike Place Market for the <span style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"">official Launch of Flair Studio &amp; Boutique </span>from 5-9 pm.</span><br style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"" /><br style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"" /><span style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"">Live Painting by the artist and the artists at THE STUDIO across the way. Â Live music from 5-7 pm.Â <br /><br />Proceeds will be donated to the Market Foundation. <br /><br />Event info: <a href=""http://www.facebook.com/events/508733225839072/"" target=""_blank"">www.facebook.com/events/508733225839072/</a></span><br style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"" /><br style=""color: #333333; font-family: 'lucida grande', tahoma, verdana, arial, sans-serif; font-size: 13px; line-height: 16px;"" /><br />",1
47,"Valentine's Day at Il Bistro",02/14/2011 00:00:00,02/14/2011 00:00:00,"<p>Festa di San Valentino<br /><br />Valentine's Day is a day to express your love and to celebrate the spirit of love. For over 35 years Il Bistro, tucked away underneath the Pike Place Market, has offered Seattle romantic and fine dining with classic Italian fare. The romantic and warm atmosphere that started in 1975 still resonates within these walls today.</p>
<p>Il Bistro is one of the most romantic places to be on Feb. 14th with a complimentary red rose for each couple, and to make the atmosphere even more romantic, the Mike Stafford Jazz Trio will be performing live throughout the evening.</p>
<p>Enjoy a truly special and romantic dinner with that special someone. You will love the San Valentino-inspired delicious Prezzo Fisso, ""Prix-Fixe,"" Chef Nathan Louma is preparing. Featuring four courses of indulgence from Kumamoto Oysters Served For Two to Maine Lobster &amp; Cappellini Pasta in a Saffron-Prosecco Cream.</p>
<p>Can't make it on the 14th? Look forÂ tasty courses fromÂ their Valentineâ€™s Day menu available a la carte beginning Friday, February 11 through Sunday, February 13 for dinner.</p>
<p>Call or visitÂ their <a href=""http://www.ilbistro.net/?utm_source=Il+Bistro&amp;utm_campaign=cd91afb85f-ILB_News_46&amp;utm_medium=email"" target=""_blank"">web site</a> to make reservations as space is very limited on this busy weekend.</p>
<p>Â <br /><em>â€œFesta Di San Valentino Menuâ€<br /></em>$95 per person, including live entertainment <br />Â <br /><em>Antipasti<br /></em>Ostrica â€œPer Dueâ€ - Kumamoto Oysters Served â€œFor Twoâ€ with Citrus-Champagne Mignonette<br />Carpacciodi Tonno - Fennel-Orange Encrusted Ahi Tuna, with Orange Flower Aioli &amp; Caviar<br />Gamberoni - Grilled Lemon-Rosemary Marinated Gulf Prawns over Saffron-Cous Cous Salad<br />CesarÃ©- Hearts of Romaine Tossed withParmigiano, Croutons &amp; Il Bistro Classic Dressing<br />Zuppa di Zucca- Butternut Squash Soup with Sage &amp; White Balsamic Soaked Cranberries<br />Formaggio â€“Artisanal Italian Cheeses with Candied Walnuts &amp; Pomegranate<br />Â <br /><em>Primi<br /></em>Risotto del Anatra- Bing Cherry-Port Risotto with Mascarpone &amp; House Cured Duck Condita<br />Fettucine con Gamberoni â€“ Fettucine &amp; Prawns with Garlic, Oregano, Breadcrumbs &amp; Parmigiana<br />Cappellini con Aragosta- Maine Lobster &amp; Cappellini Pasta in a Saffron-Prosecco Cream<br />Ravioli al Piselli â€“ Sweet Pea &amp; Tarragon Ravioli with Sherry, Yellow Tomatoes &amp; SautÃ©ed Pea Vines<br />Â <br /><em>Secondi<br /></em>SalmonÃ©-Grilled King Salmon with Lemon-Mascarpone Risotto &amp; Wild Arugula<br />PettinÃ©- Guanciale Wrapped Sea Scallops with Farro, Roasted Beets &amp; Blood Orange Citronette<br />Caretto dâ€™ Agnello- Roasted Domestic Rack of Lamb with Rustic Potatoes &amp; Red Wine-Veal Demi-Glace<br />Filetto di Manzo- Roast Tenderloin of Beef with Sweet Potato Gratin &amp; Sangiovese Reduction<br />Anatra- Pan Seared Duck Breast with Basmati Rice and Golden Raisins<br />Â <br /><em>Dolci<br /></em>Tiramisu â€“ 35 Year Il Bistro Classic<br />Zabaglione RosÃ© â€œPer Dueâ€ â€“ Brachetto Zabaglione served â€œfor twoâ€ with Fresh Berries<br />Mousse di Cioccolato â€“ Espresso-Chocolate Mousse with Pistachio Brittle &amp; White Chocolate<br />Panna Cotta â€“Mount Adams Huckleberry Panna Cotta with Fresh Fruit</p>",0
45,"Valentine's Day at Maximilien",02/14/2011 00:00:00,02/14/2011 00:00:00,"<p>A romantic spot on Valentine's Day! Celebrate Valentine's day with a five-course dinner menu and live French cafÃ© music.</p>
<p>Voted ""one of the most romantic restaurant in Seattle"" - ""Best Place To Kiss.""</p>
<p>In addition, this special dinner will also feature ""Pourquoi Pas"" music throughout the evening. ""Pourquoi Pas"" offers a repertoire of French ""chansons"" tinged with Latin jazz and gypsy swing.</p>
<p><strong><em>Valentine's Day Menu - $80 per person:</em></strong></p>
<p><strong>PissaladiÃ¨re au saumon fume<br /></strong>G&amp;D smoked salmon baked with crÃ¨me fraiche on flat brioche bread</p>
<p><strong>Crevettes ProvenÃ§ales<br /></strong>SautÃ©ed prawns with zucchini, egg plant and a Pernod beurre blanc</p>
<p><strong>Loverâ€™s Break<br /></strong>Pear sorbet and poire William liquor</p>
<p><strong>Faisan au raisin<br /></strong>Roasted pheasant breast withÂ  asparagus, baby carrots and a raisins demi glace</p>
<p><strong>Dessert pour deux<br /></strong>Layered ganache and raspberry mousse with chocolate hearts</p>
<p><a href=""http://maximilienrestaurant.com/events/vday/2011/index.html"" title=""Maximilien's website"" target=""_blank"">Reserve online now </a>or call 206-682-7270. Reserve early as space is limited.</p>
<p>Â </p>",0
59,Meet the Producers Farmtable Tour,06/25/2011 00:00:00,09/25/2011 00:00:00,"<p>Meet the Producer during our free farmtable tours taking place each Saturday and Sunday starting September 25. Meet the farmers and then shop for the best in farm fresh produce!<br /><br />Tours will be held each Saturday and Sunday atÂ 1:00 p.m.Â and meet at the Farm InfoÂ TentÂ near the north end of Pike Place.Â Tours will last 20-30 minutes and will feature a brief introduction of each farmer by the Market Master on duty that day, who will lead the tour. (The Market Master is in charge of farm and crafts set-up each day.) Farmers will talk about themselves, their farm, what they grow, and how they grow it.Â Some farmers will offer sample of their products. Tours will include farmers selling fresh fruits and vegetables on the street, those selling value added products on the dry side, and possibly a few flower farmers if time allows.Â Â <br /><br />Please join us for one or more tours this summer and get to know the farmers you shop from each week. Stop by the Farm InfoÂ Tent at 1:00 any Saturday or Sunday.</p>
<p>Â </p>",0
9,Summer Sunday Chef Demos,09/30/2012 00:00:00,09/30/2012 00:00:00,"Each Sunday this summer, stop by our Market tent on the north end of Pike Place and learn from a local chef as they demonstrate a recipe using locally grown produce. Noon and 2:00 p.m. most days <em>(note: subject to change or cancellation without notice)</em>.<br /><br />
<h2>Featured Chefs this Sunday</h2>
<p><strong>Upcoming Chefs</strong><br /><br /><strong>SeptemberÂ 29 at noon.:Â Phyllis Rosen of Catering by Phyllis<br /><br /><strong><img alt=""Jeremy McLachan"" src=""http://pikeplacemarket.s3.amazonaws.com/Farm Photos/Chef Demos/saltys.jpg"" style=""float: left; margin: 10px;"" />SeptemberÂ 29 at 2:00 p.m.:Â Jeremy McLachlan of Salty's on AlkiÂ <br /></strong></strong></p>
<p>Jeremy McLachlan started his culinary career at Saltyâ€™s on the Columbia in Portland at the age of 18. After four years, he transferred to the Redondo Beach Saltyâ€™s and then became Alki Sous Chef. His was promoted to Executive Chef at Saltyâ€™s on the Columbia, where he received rave reviews from local media food writers for his attention to detail. He decided to head back to Seattle to work at the best seafood restaurant in Seattle. He made his impact in the community and culinary world for the past six years with a live radio show and countless charitable events.Â  â€œMy love is to create great dishes with fresh seafood, as we are a seafood restaurant, but not forget the meat lovers. We are in the backyard of the greatest seafood on the planet,â€ says Chef McLachlan. He has now moved on as Saltyâ€™s Corporate Executive Chef.</p>
<br /><br /><strong>2012 Summer Sunday Chef Demo Schedule</strong><br /><br />September 30 at noon: Phyllis Rosen of Catering by Phyllis<br />September 30 at 2:00 p.m.: Jeremy McLachlan of Salty's on AlkiÂ <br /><br /><br />Subject to change or cancellation without notice.
<div></div>",0
