90,Restaurants & Take Out,Takeout,merchants
89,Restaurants & Take Out,Dinner,merchants
7,Tag,Market Memorabilia,store
8,Tag,Centennial Memorabilia,store
9,Tag,Pigs on Parade Memorabilia,store
10,Food,Bakery,merchants
11,Food,Berries,merchants
12,Food,Candy,merchants
13,Food,Cherries,merchants
14,Food,Coffee Tea & Spices,merchants
15,Food,Dairy,merchants
16,Food,Fish,merchants
17,Food,Fresh Produce,merchants
18,Food,Groceries,merchants
19,Food,Honey,merchants
20,Food,Juice,merchants
21,Food,Meat & Poultry,merchants
22,Food,Nuts,merchants
23,Food,Specialty Foods,merchants
24,Food,Tree Fruit,merchants
25,Food,Vegetables,merchants
26,Food,Wine,merchants
27,Handmade Crafts,Accessories,merchants
28,Handmade Crafts,Baskets,merchants
29,Handmade Crafts,Bath & Body Products,merchants
30,Handmade Crafts,Candles,merchants
31,Handmade Crafts,Clay/Ceramics/Pottery,merchants
32,Handmade Crafts,Clothing,merchants
33,Handmade Crafts,Costumes,merchants
34,Handmade Crafts,Fiber Arts,merchants
35,Handmade Crafts,Fine Arts,merchants
36,Handmade Crafts,Glass,merchants
37,Handmade Crafts,Jewelry,merchants
38,Handmade Crafts,Kitchen Items,merchants
39,Handmade Crafts,Leather,merchants
40,Handmade Crafts,Metalwork,merchants
41,Handmade Crafts,Photography,merchants
42,Handmade Crafts,Sculpture,merchants
43,Handmade Crafts,Specialty Items,merchants
44,Handmade Crafts,Toys,merchants
45,Handmade Crafts,Woodcraft,merchants
88,Restaurants & Take Out,Lunch,merchants
47,Antiques & Galleries,Antiques & Collectibles,merchants
48,Gifts & Merchandise,Bath & Body Care,merchants
49,Gifts & Merchandise,Books & Magazines,merchants
50,Clothing & Accessories,Clothing,merchants
110,Issue 6,Winter 2010/2011,palate
52,Gifts & Merchandise,Flowers & Plants - Shops,merchants
53,Gifts & Merchandise,Flowers & Plants - Farms,merchants
54,Antiques & Galleries,Galleries,merchants
108,Issue 4,Spring 2010,palate
56,Gifts & Merchandise,Herbal Apothecary & Vitamins,merchants
57,Clothing & Accessories,Jewelry,merchants
58,Gifts & Merchandise,Kitchen Supplies,merchants
59,Clothing & Accessories,Leather Goods,merchants
60,Gifts & Merchandise,Music,merchants
62,Clothing & Accessories,Shoes,merchants
63,Gifts & Merchandise,Specialty Merchandise,merchants
64,Gifts & Merchandise,Tobacco,merchants
66,Services,Alterations Design & Tailoring,merchants
67,Services,Architecture & Design,merchants
68,Services,Bank,merchants
69,Services,"Consultants / Non Profit / Other ",merchants
70,Services,Hair Care,merchants
71,Services,Health Care,merchants
72,Services,Hotel & Inn,merchants
73,Services,Mailing Service,merchants
74,Services,Massage & Nails,merchants
75,Services,Meetings & Event Space,merchants
105,Issue 1,Spring 2009,palate
77,Services,Optical,merchants
107,Issue 3,Fall/Winter 2009,palate
79,Services,Portraits,merchants
80,Services,Shoe Repair / Shoe Shine,merchants
109,Issue 5,Summer 2010,palate
82,Services,Tarot & Palm Reading,merchants
83,Services,Tattoo,merchants
84,Services,Theater & Tours,merchants
106,Issue 2,Summer 2009,palate
87,Restaurants & Take Out,Breakfast,merchants
96,Services,Information Booth,merchants
94,Gifts & Merchandise,Toys & Games,merchants
